股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
300265,通光线缆,创业板,2022-08-20,10.19,-3.32,-0.35,110628,113727906.74,4.36,10.64,10.18,10.63,3.03,电网设备,江苏板块,44.9,2.81
300266,兴源环境,创业板,2022-08-20,3.79,-1.56,-0.06,185755,71076191.0,3.64,3.91,3.77,3.85,1.2,环保行业,浙江板块,-59.41,3.26
300267,尔康制药,创业板,2022-08-20,3.34,0.0,0.0,140371,46921340.0,1.2,3.36,3.32,3.33,0.99,化学制药,湖南板块,76.43,1.41
300268,佳沃食品,创业板,2022-08-20,30.67,2.75,0.82,52453,161964549.44,7.94,31.79,29.42,29.94,3.93,农牧饲渔,湖南板块,12.13,-9.56
300269,ST联建,创业板,2022-08-20,4.25,2.66,0.11,167038,70233864.8,4.59,4.3,4.11,4.13,3.23,互联网服务,广东板块,-49.78,15.17
300270,中威电子,创业板,2022-08-20,6.37,-2.45,-0.16,44189,28772624.0,5.51,6.71,6.35,6.61,1.98,计算机设备,浙江板块,-76.62,2.62
300271,华宇软件,创业板,2022-08-20,7.04,-0.98,-0.07,134028,95452663.76,3.09,7.25,7.03,7.13,1.94,互联网服务,北京板块,-20.66,0.88
300272,开能健康,创业板,2022-08-20,5.66,-2.08,-0.12,43616,25003998.0,2.42,5.8,5.66,5.78,1.06,家电行业,上海板块,51.29,2.81
300273,*ST和佳,创业板,2022-08-20,2.54,-1.17,-0.03,218770,55480361.37,3.89,2.6,2.5,2.54,3.49,医疗器械,广东板块,-17.11,0.92
300274,阳光电源,创业板,2022-08-20,138.37,-1.19,-1.67,402773,5545116295.16,7.05,143.31,133.44,139.8,3.57,光伏设备,安徽板块,125.03,12.9
300275,梅安森,创业板,2022-08-20,14.36,-1.51,-0.22,46558,68049066.0,4.05,14.95,14.36,14.56,3.16,仪器仪表,重庆板块,84.16,3.71
300276,三丰智能,创业板,2022-08-20,4.44,-2.84,-0.13,312196,140589037.16,4.6,4.63,4.42,4.6,3.31,专用设备,湖北板块,114.23,2.55
300277,海联讯,创业板,2022-08-20,7.11,-1.93,-0.14,33734,24339782.0,3.31,7.34,7.1,7.21,1.01,互联网服务,广东板块,-555.35,5.03
300278,华昌达,创业板,2022-08-20,5.21,-1.7,-0.09,175022,92765446.8,3.96,5.42,5.21,5.37,1.35,通用设备,湖北板块,104.21,4.53
300279,和晶科技,创业板,2022-08-20,6.51,-3.13,-0.21,97965,64949803.8,4.46,6.8,6.5,6.74,2.23,消费电子,江苏板块,-19.33,3.42
300280,紫天科技,创业板,2022-08-20,22.19,2.31,0.5,89830,203658842.0,8.76,23.5,21.6,21.79,5.6,文化传媒,福建板块,13.79,1.6
300281,金明精机,创业板,2022-08-20,5.94,-2.3,-0.14,58571,35245417.0,3.62,6.13,5.91,6.1,1.47,专用设备,广东板块,118.71,1.94
300282,ST三盛,创业板,2022-08-20,3.43,-0.29,-0.01,84102,28984167.0,3.2,3.5,3.39,3.43,2.25,教育,北京板块,-37.33,0.82
300283,温州宏丰,创业板,2022-08-20,6.68,-1.76,-0.12,113094,76472537.97,3.24,6.88,6.66,6.82,3.79,电网设备,浙江板块,104.06,3.6
300284,苏交科,创业板,2022-08-20,6.38,-0.62,-0.04,79960,51342758.6,1.87,6.5,6.38,6.4,0.92,工程咨询服务,江苏板块,24.33,1.04
300285,国瓷材料,创业板,2022-08-20,33.4,-4.65,-1.63,65966,224556547.68,5.0,35.08,33.33,35.08,0.84,化学制品,山东板块,40.26,5.96
300286,安科瑞,创业板,2022-08-20,30.92,-4.27,-1.38,16852,53302190.0,6.9,33.0,30.77,32.21,0.97,电网设备,上海板块,52.65,6.81
300287,飞利信,创业板,2022-08-20,4.33,-0.69,-0.03,684830,301062231.42,3.67,4.47,4.31,4.35,5.56,互联网服务,北京板块,275.16,2.91
300288,朗玛信息,创业板,2022-08-20,10.35,0.0,0.0,69017,72366007.46,2.9,10.6,10.3,10.42,2.78,互联网服务,贵州板块,57.55,2.37
300289,利德曼,创业板,2022-08-20,6.17,-0.96,-0.06,64764,40356811.78,1.93,6.29,6.17,6.27,1.55,医疗器械,北京板块,70.12,1.82
300290,荣科科技,创业板,2022-08-20,4.81,7.61,0.34,365029,172886355.1,11.19,4.96,4.46,4.46,5.96,互联网服务,辽宁板块,-33.03,3.03
300291,百纳千成,创业板,2022-08-20,4.57,0.44,0.02,100592,46512922.0,3.3,4.69,4.54,4.57,1.29,文化传媒,北京板块,-62.99,1.14
300292,吴通控股,创业板,2022-08-20,3.58,-2.45,-0.09,312490,114355766.0,4.36,3.74,3.58,3.67,2.8,通信服务,江苏板块,107.41,3.8
