股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600319,亚星化学,沪a,2022-08-19,6.34,-0.47,-0.03,73333,46990680.0,2.83,6.5,6.32,6.39,2.32,化学原料,山东板块,33.52,7.65
600320,振华重工,沪a,2022-08-19,3.66,-0.81,-0.03,130551,48112427.0,2.17,3.74,3.66,3.71,0.39,专用设备,上海板块,315.23,1.35
600321,正源股份,沪a,2022-08-19,1.96,-0.51,-0.01,124198,24445664.0,1.02,1.98,1.96,1.96,0.82,装修建材,四川板块,-21.46,1.58
600322,天房发展,沪a,2022-08-19,2.02,1.0,0.02,132810,26828070.0,2.0,2.04,2.0,2.01,1.2,房地产开发,天津板块,-2.67,7.95
600323,瀚蓝环境,沪a,2022-08-19,21.73,8.98,1.79,198657,423758060.0,8.78,21.9,20.15,20.25,2.44,环保行业,广东板块,16.12,1.72
600325,华发股份,沪a,2022-08-19,8.24,3.39,0.27,379147,311208203.0,4.27,8.3,7.96,8.01,1.79,房地产开发,广东板块,6.13,1.05
600326,西藏天路,沪a,2022-08-19,5.4,-0.92,-0.05,39964,21714262.0,1.47,5.48,5.4,5.43,0.44,水泥建材,西藏板块,-22.02,1.19
600327,大东方,沪a,2022-08-19,4.74,-1.04,-0.05,47467,22544356.0,1.46,4.79,4.72,4.77,0.54,汽车服务,江苏板块,18.31,1.25
600328,中盐化工,沪a,2022-08-19,19.24,-0.82,-0.16,166064,320919911.0,2.63,19.67,19.16,19.5,2.97,化学原料,内蒙古,6.69,2.12
600329,达仁堂,沪a,2022-08-19,22.87,-0.91,-0.21,21904,50130023.0,1.21,23.06,22.78,23.06,0.39,中药,天津板块,18.87,2.74
600330,天通股份,沪a,2022-08-19,14.63,-6.58,-1.03,536880,801864100.0,7.09,15.59,14.48,15.5,5.39,非金属材料,浙江板块,28.72,2.85
600331,宏达股份,沪a,2022-08-19,3.07,-0.65,-0.02,202199,62455126.0,1.29,3.11,3.07,3.1,1.0,有色金属,四川板块,47.89,16.32
600332,白云山,沪a,2022-08-19,27.76,-0.32,-0.09,41120,114427591.0,0.75,27.94,27.73,27.86,0.29,中药,广东板块,8.71,1.48
600333,长春燃气,沪a,2022-08-19,5.57,1.46,0.08,80327,44600097.0,2.55,5.6,5.46,5.5,1.32,燃气,吉林板块,-72.66,1.61
600335,国机汽车,沪a,2022-08-19,9.29,-3.13,-0.3,215331,202474708.0,5.01,9.68,9.2,9.6,2.09,汽车服务,天津板块,479.85,1.29
