股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
688069,德林海,科创版,2022-08-20,32.45,-1.37,-0.45,1345,4390348.0,3.25,33.3,32.23,33.3,0.26,环保行业,江苏板块,218.92,1.85
688070,纵横股份,科创版,2022-08-20,69.0,-3.09,-2.2,11307,79595839.0,5.6,72.99,69.0,71.52,3.03,航天航空,四川板块,-2722.38,8.69
688071,华依科技,科创版,2022-08-20,80.99,-3.12,-2.61,13619,113197138.0,10.04,87.67,79.28,83.59,3.34,汽车零部件,上海板块,-403.81,12.81
688072,拓荆科技-U,科创版,2022-08-20,254.1,-8.44,-23.42,11239,296461408.0,10.99,284.15,253.64,278.12,4.29,半导体,辽宁板块,-676.42,9.71
688075,安旭生物,科创版,2022-08-20,106.45,1.57,1.65,16007,171257453.0,4.24,108.48,104.04,104.72,7.06,医疗器械,浙江板块,0.9,1.91
688076,诺泰生物,科创版,2022-08-20,23.36,-2.01,-0.48,17302,40820497.0,3.27,24.13,23.35,23.58,1.2,医疗服务,江苏板块,77.36,2.77
688077,大地熊,科创版,2022-08-20,83.2,-4.2,-3.65,22188,191215520.0,6.25,88.28,82.85,86.95,4.94,小金属,安徽板块,32.08,6.36
688078,龙软科技,科创版,2022-08-20,42.6,-1.98,-0.86,7434,32003086.0,4.76,44.31,42.24,42.88,2.09,软件开发,北京板块,53.24,5.15
688079,美迪凯,科创版,2022-08-20,12.6,-3.52,-0.46,75822,96882386.0,6.58,13.27,12.41,13.07,4.35,光学光电子,浙江板块,84.9,3.24
688080,映翰通,科创版,2022-08-20,44.81,-4.5,-2.11,5293,24171287.0,6.84,47.61,44.4,47.21,1.4,通信设备,北京板块,298.86,3.16
688081,兴图新科,科创版,2022-08-20,21.72,-11.02,-2.69,20350,45362542.0,6.51,23.15,21.56,23.13,6.41,通信服务,湖北板块,-41.83,2.45
688082,盛美上海,科创版,2022-08-20,120.0,-5.06,-6.39,14727,182091432.0,9.04,131.0,119.58,125.19,4.13,专用设备,上海板块,109.95,10.27
688083,中望软件,科创版,2022-08-20,215.99,-1.06,-2.31,5020,108836375.0,3.66,222.0,214.0,217.2,1.13,软件开发,广东板块,-257.22,6.93
