股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
000027,深圳能源,深a,2022-08-19,6.68,2.77,0.18,444571,295646572.41,4.62,6.76,6.46,6.5,0.93,电力行业,广东板块,14.33,0.69
000028,国药一致,深a,2022-08-19,28.86,-0.35,-0.1,7472,21590464.68,0.83,29.05,28.81,28.96,0.2,医药商业,广东板块,9.16,0.81
000029,深深房Ａ,深a,2022-08-19,9.34,-1.68,-0.16,88256,83442145.16,3.68,9.65,9.3,9.41,0.99,房地产开发,广东板块,14.56,2.36
000030,富奥股份,深a,2022-08-19,5.47,-3.01,-0.17,103578,57443505.8,3.55,5.66,5.46,5.6,0.59,汽车零部件,吉林板块,103.77,1.42
000031,大悦城,深a,2022-08-19,3.53,1.44,0.05,108278,38205849.6,2.87,3.56,3.46,3.47,0.57,房地产开发,广东板块,-37.5,0.8
000032,深桑达Ａ,深a,2022-08-19,15.37,-1.35,-0.21,33193,51571023.13,4.24,15.94,15.28,15.58,0.51,通信设备,广东板块,-34.07,3.02
000033,新都退,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000034,神州数码,深a,2022-08-19,19.21,-3.37,-0.67,97507,190369010.61,4.98,20.19,19.2,19.8,1.8,计算机设备,广东板块,16.99,2.12
000035,中国天楹,深a,2022-08-19,6.49,-1.96,-0.13,612813,398341934.67,4.38,6.67,6.38,6.63,2.5,环保行业,江苏板块,95.98,1.53
000036,华联控股,深a,2022-08-19,3.95,0.0,0.0,66016,26195404.3,1.52,3.99,3.93,3.95,0.45,房地产开发,广东板块,41.91,1.2
000037,深南电A,深a,2022-08-19,8.51,-0.12,-0.01,146666,124335779.63,3.64,8.64,8.33,8.5,4.33,电力行业,广东板块,-27.26,3.37
000038,*ST大通,深a,2022-08-19,5.06,1.0,0.05,60991,31026556.72,2.79,5.15,5.01,5.01,2.43,文化传媒,广东板块,22.61,1.17
000039,中集集团,深a,2022-08-19,8.33,-1.88,-0.16,254194,212228108.12,2.59,8.52,8.3,8.49,1.1,通用设备,广东板块,6.58,0.98
000040,东旭蓝天,深a,2022-08-19,5.63,7.44,0.39,3381975,1853723206.24,13.93,5.76,5.03,5.15,31.9,电力行业,广东板块,-36.3,0.73
000042,中洲控股,深a,2022-08-19,8.99,2.74,0.24,34433,30990644.31,5.6,9.19,8.7,8.77,0.52,房地产开发,广东板块,11.57,0.72
000045,深纺织Ａ,深a,2022-08-19,10.6,9.96,0.96,35533,37665329.8,0.0,10.6,10.6,10.6,0.78,光学光电子,广东板块,76.15,1.91
000046,泛海控股,深a,2022-08-19,1.43,0.0,0.0,260419,37407968.0,2.1,1.45,1.42,1.43,0.5,多元金融,北京板块,-2.33,1.49
